Wall time,Step,Value
1642671211.4266148,2859,-85.6545639038086
1642671245.5403352,2900,-37.53847122192383
1642671269.608379,2929,-55.8143424987793
1642671331.0097215,3014,28.14983558654785
1642671360.015596,3052,-16.489883422851562
1642671377.2689555,3068,-76.593505859375
1642671460.995446,3196,125.55958557128906
1642671549.5374002,3330,123.02179718017578
1642671824.9624908,3786,886.66796875
1642671959.5125878,4001,370.4588317871094
1642672001.0440836,4063,51.89841079711914
1642672090.2484589,4205,244.63119506835938
1642672141.7139363,4284,86.15674591064453
1642672154.404854,4295,-73.76482391357422
1642672200.488879,4364,73.17894744873047
1642672226.9171867,4397,-22.482303619384766
1642672293.4359367,4500,137.28131103515625
1642672358.6147616,4599,128.21536254882812
1642672478.1743395,4806,460.83331298828125
1642672562.6300378,4945,270.65704345703125
1642672594.623706,4991,21.067373275756836
1642672609.8629496,5005,-79.17967987060547
1642672718.8319323,5198,469.2554016113281
1642672738.01044,5222,-25.810558319091797
1642672790.5665348,5295,13.588254928588867
1642672874.255088,5437,311.0680847167969
1642672904.828651,5480,8.693230628967285
1642673040.5171163,5710,498.605224609375
1642673052.7203815,5720,-82.526123046875
1642673074.127541,5746,-31.15679931640625
1642673215.7737024,5996,632.7739868164062
1642673251.5587964,6048,33.15922164916992
1642673290.3519611,6104,18.947668075561523
1642673323.4627113,6153,40.07033920288086
1642673386.366489,6252,159.02772521972656
1642673541.5748105,6475,212.62022399902344
1642673565.176253,6505,-26.18183708190918
1642673712.0772169,6765,656.1566162109375
1642673768.4691837,6849,83.58545684814453
1642673813.523861,6921,110.61849975585938
1642673835.023541,6946,-38.71638107299805
1642673860.2142696,6978,-29.945926666259766
1642673960.5931756,7149,380.2122802734375
1642673982.6861558,7176,-38.88998794555664
1642674007.1457782,7208,-19.371374130249023
1642674035.2457979,7244,-20.80809211730957
1642674047.1503806,7253,-84.46895599365234
1642674113.5109327,7361,200.38458251953125
1642674127.6248832,7373,-81.80331420898438
1642674162.7272375,7424,26.583402633666992
1642674188.4017825,7459,-2.917217254638672
1642674205.087806,7479,-44.749813079833984
1642674324.5232165,7683,466.6865539550781
1642674375.043317,7761,99.44822692871094
1642674403.4746363,7801,3.334352970123291
1642674429.1836026,7835,-19.986385345458984
1642674460.415254,7877,1.9774653911590576
1642674479.1631248,7899,-50.125083923339844
1642674498.4514117,7922,-38.98051071166992
1642674550.1094797,8003,113.55857849121094
1642674569.61881,8027,-29.94415855407715
1642674605.4900365,8079,49.16046142578125
1642674665.626755,8176,149.02438354492188
1642674723.8564005,8271,171.34884643554688
1642674764.878665,8332,63.75405502319336
1642674787.9095223,8361,-32.812313079833984
1642674813.8964915,8395,-25.874900817871094
1642674828.526612,8408,-79.14546203613281
1642674880.875948,8493,124.3454360961914
1642674933.081048,8567,61.52678298950195
1642674984.354766,8648,116.11052703857422
1642675002.4742067,8669,-47.829124450683594
1642675041.33151,8730,59.10702133178711
1642675068.469906,8765,-11.04654312133789
1642675091.9419692,8792,-43.64997482299805
1642675132.0044239,8856,97.2009506225586
1642675158.6386523,8894,-2.3985891342163086
1642675232.2648942,9020,280.99639892578125
1642675302.7409003,9133,184.42950439453125
1642675326.3280993,9166,7.3332085609436035
1642675347.4441984,9194,-19.814172744750977
1642675365.86729,9212,-65.22190856933594
1642675506.3178437,9465,648.4003295898438
1642675527.8144467,9493,-28.30501937866211
1642675564.0408247,9547,37.48052215576172
1642675610.0081294,9617,79.56834411621094
1642675635.9172966,9649,-23.539913177490234
1642675654.4808407,9669,-57.237274169921875
1642675675.537791,9695,-33.46604919433594
1642675697.103125,9724,-20.846784591674805
1642675714.3525,9743,-53.53813552856445
1642675736.092781,9770,-31.603652954101562
1642675790.1276517,9853,118.10285186767578
1642675814.4009037,9885,-17.34243392944336
1642675829.4319425,9900,-66.1057357788086
1642675928.4398944,10071,373.3631286621094
1642675951.582125,10103,2.4250099658966064
1642676019.6616197,10217,211.21881103515625
1642676033.814471,10230,-77.70240020751953
1642676047.490628,10242,-81.94206237792969
1642676067.748822,10266,-24.609703063964844
1642676094.0753877,10301,-13.507346153259277
1642676144.9713979,10384,128.50396728515625
1642676178.8412406,10435,40.19278335571289
1642676214.3181791,10486,24.986085891723633
1642676251.7194262,10544,65.9937515258789
1642676308.1104298,10636,157.9522247314453
1642676337.0094838,10674,1.1830897331237793
1642676348.9958062,10683,-84.3919448852539
1642676414.099743,10792,205.8909454345703
1642676446.1495268,10842,53.53523635864258
1642676473.0388231,10878,6.1248931884765625
1642676492.2495859,10902,-28.16266632080078
1642676630.0629637,11147,615.1084594726562
1642676647.9887717,11167,-58.27833938598633
1642676662.3519034,11181,-62.20964050292969
1642676691.0145423,11222,13.032366752624512
1642676707.9823968,11240,-64.29072570800781
1642676743.1568415,11294,55.70625686645508
1642676856.1460817,11488,436.00164794921875
1642676891.2170835,11535,10.899328231811523
1642676906.3752763,11551,-56.18075942993164
1642676960.7548432,11639,147.36758422851562
1642677018.6456854,11731,161.70960998535156
1642677122.8132515,11915,419.1834411621094
1642677167.208033,11981,77.7401123046875
1642677190.2680752,12010,-42.004966735839844
1642677198.7251003,12012,-103.48066711425781
1642677211.934122,12023,-73.29682922363281
1642677264.8297863,12114,190.91012573242188
1642677297.3092618,12159,11.82033920288086
1642677323.1643708,12196,11.430436134338379
1642677339.3166604,12214,-51.021976470947266
1642677362.7265487,12245,-17.395862579345703
1642677398.5590584,12296,13.926078796386719
1642677407.658798,12300,-99.45265197753906
1642677439.5181308,12345,26.57625961303711
1642677459.2521133,12370,-25.63249397277832
1642677481.7360682,12400,-18.8644962310791
1642677511.3842053,12444,30.55483055114746
1642677528.328231,12464,-37.56691360473633
1642677542.9666598,12478,-64.3731689453125
1642677568.2458403,12509,-35.68047332763672
1642677589.9332807,12537,-31.196895599365234
1642677614.120916,12569,-9.446391105651855
