Wall time,Step,Value
1642644012.1220045,14833,116.73363494873047
1642644044.7717195,14885,29.677263259887695
1642644069.0036037,14922,12.541141510009766
1642644098.9736118,14967,6.464531421661377
1642644141.4855182,15035,34.6722412109375
1642644247.2348564,15206,99.36925506591797
1642644277.2471669,15251,5.477600574493408
1642644295.7929204,15275,-36.848270416259766
1642644415.2783039,15439,72.91864776611328
1642644458.3253627,15501,-21.797609329223633
1642644474.0095398,15519,-66.78211975097656
1642644571.2575035,15697,303.9779052734375
1642644585.6508026,15714,-53.027530670166016
1642644601.85541,15735,-29.559993743896484
1642644610.6955109,15739,-95.65083312988281
1642644624.6256528,15754,-58.10075378417969
1642644648.9906752,15790,-3.3712801933288574
1642644664.0767655,15807,-66.81233215332031
1642644696.3616207,15859,34.11809158325195
1642644708.1348712,15870,-71.57295989990234
1642644728.5088086,15897,-30.767078399658203
1642644764.5371068,15957,62.394798278808594
1642644776.401937,15967,-79.77303314208984
1642644791.3042178,15985,-54.366207122802734
1642644808.6819644,16008,-26.102317810058594
1642644843.537705,16064,51.71348571777344
1642644869.0139258,16087,-71.36201477050781
1642644880.8484836,16096,-96.35562133789062
1642644894.4175534,16109,-72.2718276977539
1642644926.0897923,16143,-66.0418472290039
1642644992.861162,16249,14.92372989654541
1642645042.2277477,16322,21.56493377685547
1642645066.5823514,16356,-31.170949935913086
1642645158.7050412,16500,37.96455001831055
1642645177.5858438,16525,-30.534772872924805
1642645201.637273,16557,-56.97122573852539
1642645255.2677171,16638,48.308753967285156
1642645311.7265387,16739,160.2766571044922
1642645341.4958422,16785,17.347877502441406
1642645403.4671192,16887,88.29927825927734
1642645425.30211,16917,-26.502994537353516
1642645494.1717148,17041,178.2522735595703
1642645512.5721807,17064,-48.419342041015625
1642645551.5775504,17114,-74.32738494873047
1642645570.6914413,17141,-19.961528778076172
1642645585.609864,17157,-64.80982208251953
1642645607.4819694,17188,-17.578523635864258
1642645639.8421347,17239,26.947982788085938
1642645661.633212,17269,-16.578603744506836
1642645686.5740588,17308,18.976699829101562
1642645701.5562444,17324,-71.65158081054688
1642645710.517416,17328,-99.37848663330078
1642645734.230489,17348,-68.29032135009766
1642645748.6428506,17365,-53.4432487487793
1642645774.4562852,17405,4.847086429595947
1642645829.3120139,17472,-71.70174407958984
1642645854.8370595,17510,2.8576581478118896
1642645875.8706625,17537,-46.188865661621094
1642645929.9739332,17617,-88.18536376953125
1642645941.40108,17627,-74.02336120605469
1642645961.1555426,17653,-47.535011291503906
1642645992.6209908,17706,58.623992919921875
1642646038.8382692,17771,-37.210418701171875
1642646060.3153956,17786,-89.98788452148438
1642646108.1332903,17870,116.50550842285156
1642646138.9411213,17923,59.781944274902344
1642646195.8233955,18013,14.957197189331055
1642646231.3527884,18058,-69.12606048583984
1642646264.1025198,18097,-68.18374633789062
1642646281.565455,18119,-44.2299690246582
1642646309.8663218,18161,1.5135371685028076
1642646429.8525524,18365,22.541479110717773
1642646513.7144883,18481,-89.47285461425781
1642646536.5048473,18511,-41.33007049560547
1642646589.8504,18610,186.66290283203125
1642646626.1764016,18670,47.46328353881836
1642646640.791827,18687,-48.544132232666016
1642646687.8350139,18753,-6.696286201477051
1642646698.9263196,18762,-73.32173919677734
1642646772.8370452,18870,-34.09609603881836
1642646781.7496476,18874,-99.46192932128906
1642646828.961491,18942,-17.728837966918945
1642646921.8715484,19094,138.67575073242188
1642646932.6950898,19101,-94.52447509765625
1642647062.062676,19318,-85.13214874267578
1642647108.10465,19383,-18.75684928894043
1642647135.4208715,19425,15.112085342407227
1642647162.0354786,19464,-7.8531036376953125
1642647197.6110823,19522,66.4865951538086
1642647229.9058177,19572,20.908554077148438
1642647262.1278946,19624,42.837337493896484
1642647290.704881,19670,31.733421325683594
1642647314.3622115,19704,-20.008543014526367
1642647354.1236398,19770,82.86795806884766
1642647386.1866117,19820,12.6658296585083
1642647412.3745644,19860,17.246553421020508
1642647446.378217,19917,58.00162887573242
1642647471.0436988,19954,1.7107247114181519
1642647663.154049,20273,14.28443431854248
1642647688.60315,20310,-22.060749053955078
1642647734.4696927,20375,-33.08147048950195
1642647813.8457572,20505,-63.16749954223633
1642647852.4279757,20569,66.72834014892578
1642647867.6310244,20585,-74.99442291259766
1642647882.4343686,20600,-70.18019104003906
1642647938.6864228,20697,141.28309631347656
1642647957.4754038,20721,-45.10642623901367
1642647995.123502,20787,96.4913330078125
1642648050.9881043,20875,46.03956985473633
1642648088.3334477,20930,2.3158087730407715
1642648154.2412117,21036,-7.752104759216309
1642648176.5379443,21068,-18.660226821899414
1642648195.6218345,21092,-39.9876594543457
1642648229.6785362,21146,44.7652473449707
1642648320.224837,21316,329.7141418457031
1642648388.8948634,21424,152.47422790527344
1642648405.611008,21445,-47.44065475463867
1642648434.207924,21489,13.848966598510742
1642648543.837959,21685,170.92349243164062
1642648607.4822068,21799,193.6504364013672
1642648637.6903846,21848,37.534698486328125
1642648667.966666,21893,-3.5352025032043457
1642648708.7766702,21962,72.82341766357422
1642648724.6039588,21981,-51.31253433227539
1642648757.5717347,22034,44.154945373535156
1642648780.1436324,22068,-6.996840000152588
1642648794.5517788,22082,-64.05625915527344
1642648843.1243978,22141,-2.7050817012786865
1642648892.3618824,22209,15.811532974243164
1642648924.8680067,22246,-68.13465118408203
1642648970.591022,22302,-13.48779582977295
1642648988.5318575,22327,-17.2525634765625
1642648999.0654223,22334,-86.13799285888672
1642649029.792976,22377,-28.75425148010254
1642649044.519467,22392,-65.41023254394531
1642649063.878136,22417,-31.956281661987305
1642649090.0583785,22455,-31.380218505859375
1642649132.2267263,22527,62.21894454956055
1642649156.0534525,22564,19.654014587402344
1642649169.5037594,22577,-78.28797912597656
1642649208.1007442,22641,73.82537841796875
